idade;sexo;educ;partido;candidato;renda;filhos
47;Male;College Incomplete;Conservative Party;Other;23639,13992726310;0
37;Female;College Incomplete;Conservative Party;Trampi;16679,34936222350;2
21;Female;High School Degree;Independent;Trampi;8396,89924841565;0
37;Male;College Incomplete;Socialist Party;Trampi;22098,31833491690;1
39;Female;College Degree or more;Socialist Party;Other;10887,32896093970;2
45;Female;College Incomplete;Socialist Party;Other;8560,05642679336;1
41;Male;High School Degree;Independent;Other;35395,45671173610;2
36;Female;High School Degree;Independent;Baidem;-2363,21045103521;3
39;Male;College Incomplete;Independent;Trampi;12895,18844727200;1
45;Male;College Degree or more;Independent;Baidem;28047,77753654090;5
33;Male;College Degree or more;Socialist Party;Baidem;24318,01715765620;2
41;Male;College Incomplete;Conservative Party;Baidem;25369,94880277030;1
36;Female;High School Degree;Independent;Other;12944,62891855930;2
38;Male;High School Degree;Socialist Party;Baidem;14777,60710033480;4
37;Female;College Incomplete;Socialist Party;None;17597,87775400130;1
38;Male;College Degree or more;Conservative Party;Trampi;18879,06843924130;1
39;Male;High School Degree;Independent;Baidem;30893,18997423530;1
37;Female;College Degree or more;Conservative Party;Baidem;20262,89232666010;1
34;Male;College Incomplete;Conservative Party;Baidem;30400,53877255030;3
32;Female;High School Degree;Independent;Trampi;18529,54135332540;1
29;Female;College Degree or more;Independent;Baidem;12174,99306182250;0
38;Female;High School Degree;Independent;Baidem;11463,99425969680;0
40;Male;High School Degree;Independent;Baidem;9351,48313669225;1
34;Female;No High School Degree;Independent;Other;12942,53803731050;3
35;Male;High School Degree;Conservative Party;Other;30230,54405419430;1
40;Male;No High School Degree;Conservative Party;Trampi;36627,30540534940;5
37;Female;College Degree or more;Independent;Baidem;20749,90861501500;2
36;Female;No High School Degree;Independent;Other;1629,23768881125;2
36;Female;High School Degree;Independent;None;13842,19323505890;4
39;Male;High School Degree;Independent;Trampi;31568,73098097850;4
41;Male;College Degree or more;Independent;Trampi;20427,79296297820;3
44;Male;College Degree or more;Independent;Trampi;36778,22800769430;4
38;Male;High School Degree;Independent;Trampi;23349,40955615540;2
38;Female;High School Degree;Independent;Trampi;11510,38330526300;2
39;Female;High School Degree;Independent;Trampi;12862,70807011080;1
51;Male;High School Degree;Independent;Trampi;14379,26379861460;5
34;Female;College Incomplete;Independent;Baidem;8650,38943452486;1
36;Female;High School Degree;Conservative Party;Baidem;21403,32327222690;1
